idade,estado,escolaridade,renda_mensal,tempo_emprego_anos,score_credito,valor_solicitado,prazo_meses,finalidade,dividas_ativas,inadimplente
52,MS,Ensino Superior,2911.82,14,690,5934.19,60,Viagem,1,0
49,RR,Ensino Médio,3176.43,5,676,6791.38,24,Outros,2,0
48,AL,Ensino Superior,3429.4,23,558,14666.78,24,Outros,5,1
59,GO,Ensino Fundamental,10096.7,2,739,19053.24,24,Reforma,0,0
37,RJ,Ensino Fundamental,3033.25,24,797,6171.31,6,Educação,0,1
63,RN,Ensino Superior,4803.11,14,624,14481.89,36,Educação,5,0
38,ES,Ensino Superior,5525.59,5,632,4756.88,48,Educação,4,1
38,RJ,Ensino Fundamental,4836.0,9,684,7274.96,6,Reforma,1,0
68,SE,Ensino Médio,3110.75,25,633,8856.97,24,Educação,1,0
39,PB,Ensino Superior,2555.84,12,746,16965.5,60,Saúde,1,0
61,SC,Ensino Médio,5457.55,12,647,22462.55,36,Reforma,6,0
22,CE,Ensino Superior,2571.1,19,708,19958.21,24,Educação,0,0
60,AC,Ensino Médio,1166.84,24,709,6701.83,24,Veículo,0,0
36,RJ,Ensino Superior,3175.22,13,561,6213.16,12,Veículo,2,0
62,BA,Ensino Fundamental,3554.72,1,639,19617.79,24,Reforma,0,0
67,BA,Ensino Médio,8551.86,16,763,20116.87,24,Veículo,2,0
63,AP,Ensino Superior,3725.41,18,638,37884.67,24,Saúde,3,0
71,CE,Ensino Fundamental,8119.73,9,706,7547.12,12,Veículo,0,0
66, DF ,Ensino Médio,12850.89,24,649,31573.99,24,Outros,3,0
64,MG,Ensino Fundamental,3109.4,15,496,9322.23,36,Veículo,1,0
25,PA,Ensino Superior,3774.74,4,433,50000.0,18,Veículo,4,1
41,PB,Ensino Médio,2885.58,21,670,11670.63,24,Veículo,1,1
19,DF,Pós-graduação,1394.44,3,635,21477.75,24,Saúde,2,0
19,GO,Ensino Superior,5212.21,14,787,12724.96,60,Outros,2,0
56,PA,Ensino Superior,2159.62,17,530,21550.98,36,Educação,5,1
51,AM,Ensino Superior,8897.53,3,603,12210.03,24,Veículo,1,0
20,MA,Ensino Médio,4557.43,14,700,11019.03,48,Saúde,2,0
73,SE,Ensino Superior,3367.25,23,620,9476.68,36,Outros,0,0
43,BA,Ensino Fundamental,13961.68,2,724,17652.38,48,Reforma,3,0
75,RR,Ensino Médio,3463.92,16,638,15694.93,18,Saúde,0,1
68,AM,Ensino Superior,3801.66,11,530,23338.4,18,Outros,0,0
69,TO,Ensino Médio,4026.3,5,710,13290.09,60,Educação,4,1
32,AC,Ensino Superior,3843.02,19,653,13189.32,12,Educação,0,0
50,MS,Ensino Médio,7375.49,24,533,7506.25,18,Saúde,4,0
51,MA,Ensino Médio,2718.13,18,700,5129.85,36,Reforma,0,0
37,MA,Ensino Médio,7003.25,23,532,10277.47,60,Educação,2,0
38,AM,Ensino Superior,5459.97,13,550,5997.24,48,Reforma,2,0
48,MT,Ensino Superior,3863.67,22,768,12235.13,36,Saúde,4,0
35,AM,Ensino Fundamental,1937.4,12,615,7030.48,48,Educação,4,1
72,PE,Ensino Médio,11737.23,25,748,17577.0,24,Reforma,2,0
32,MG,Ensino Superior,12150.48,16,643,11365.43,48,Outros,5,0
61,AC,Ensino Superior,4730.67,5,745,18513.5,24,Outros,1,0
35,MT,Ensino Fundamental,17803.22,7,564,6417.71,48,Outros,2,0
20,RJ,Ensino Superior,4520.31,19,531,10764.59,60,Outros,5,1
66,RJ,Ensino Fundamental,2040.84,10,724,33055.38,12,Outros,4,1
63,RS,Ensino Médio,1309.68,15,684,8872.46,48,Viagem,0,0
26,MA,Ensino Médio,5681.7,2,647,8893.48,48,Saúde,2,0
73,PE,Pós-graduação,2960.11,13,607,17404.42,24,Outros,1,0
72,MS,Ensino Fundamental,5530.97,23,613,25499.66,24,Outros,2,0
26,DF,Pós-graduação,9372.75,3,587,16670.04,24,Reforma,1,1
72,MT,Ensino Médio,3740.31,13,775,15614.64,6,Veículo,4,1
75,AC,Pós-graduação,2452.08,14,704,19684.99,18,Reforma,4,0
39,PA,Ensino Médio,5929.96,7,564,3426.39,60,Outros,3,1
47,PI,Ensino Superior,3634.34,1,769,14076.64,12,Viagem,2,0
34,MS,Ensino Superior,3946.92,17,726,6527.47,36,Veículo,1,0
27,MS,Ensino Superior,5965.52,5,647,15154.93,18,Educação,2,0
75,AP,Ensino Superior,8968.55,9,603,15551.16,36,Saúde,1,0
32,TO,Ensino Médio,9181.61,15,756,7712.19,48,Veículo,0,0
75,DF,Ensino Superior,3514.7,9,703,17635.14,24,Outros,5,0
73,MS,Ensino Superior,5006.65,23,754,12349.77,12,Veículo,0,0
47,MT,Ensino Superior,8980.76,17,786,19512.38,12,Saúde,0,0
54,SP,Ensino Superior,5791.96,1,558,15892.88,48,Viagem,0,1
60,TO,Ensino Médio,2656.63,4,600,5756.24,18,Reforma,0,0
20,RO,Ensino Médio,3402.43,3,594,11623.06,48,Reforma,1,1
25,RJ,Pós-graduação,16705.45,13,662,16804.11,24,Veículo,2,0
72,MG,Ensino Médio,4798.16,6,538,13245.83,48,Saúde,1,0
32,AL,Ensino Médio,2225.68,22,591,13708.62,18,Outros,2,0
29,MS,Ensino Superior,2698.38,3,617,11673.26,60,Viagem,1,0
69,AC,Ensino Fundamental,14874.4,21,697,13886.6,60,Veículo,0,0
63,PB,Ensino Médio,4584.59,5,638,39754.5,12,Saúde,0,1
43,AM,Ensino Médio,17241.92,2,672,9273.23,48,Educação,0,0
40,AC,Ensino Médio,1707.82,22,687,4473.79,6,Saúde,1,0
25,PB,Ensino Superior,3929.28,22,689,9203.58,24,Veículo,2,0
68,PE,Pós-graduação,5144.27,9,571,8950.3,24,Outros,2,1
43,DF,Ensino Fundamental,6130.63,24,478,17353.71,36,Educação,5,1
66,PR,Ensino Superior,1107.58,14,633,6815.36,36,Reforma,4,1
28,PB,Ensino Superior,9204.4,19,807,11172.18,24,Saúde,2,0
47,AM,Pós-graduação,3628.77,23,802,17224.19,36,Reforma,0,0
62,SC,Ensino Fundamental,2649.89,12,755,11657.68,6,Veículo,0,1
66,PB,Ensino Superior,10400.92,21,646,14470.25,24,Educação,4,0
63,TO,Ensino Superior,5391.22,25,600,21131.78,18,Veículo,1,0
43,RO,Ensino Superior,3314.52,25,643,11686.4,36,Veículo,0,0
68,AL,Ensino Médio,11593.84,10,563,10605.15,18,Saúde,3,0
43,TO,Ensino Superior,7067.82,10,772,11951.36,18,Outros,3,0
46,GO,Ensino Médio,3918.03,18,649,13444.39,6,Saúde,0,1
74,PI,Pós-graduação,5644.71,12,632,9976.4,36,Reforma,0,0
26,SC,Ensino Médio,6122.34,12,717,6791.1,60,Outros,0,0
75,ES,Pós-graduação,9407.88,9,738,12702.53,36,Outros,2,0
65,RO,Ensino Fundamental,3153.39,24,772,12702.1,6,Saúde,3,0
18,SE,Ensino Médio,2828.4,2,838,50000.0,18,Veículo,3,1
71,MS,Ensino Superior,1282.85,12,666,3762.94,48,Viagem,3,0
31,PI,Ensino Fundamental,3730.55,14,686,15918.16,24,Educação,0,1
20,AM,Ensino Médio,7208.91,4,634,7639.04,18,Reforma,0,0
71,MG,Ensino Superior,4168.26,20,479,16435.15,12,Outros,0,1
37,MS,Ensino Fundamental,6036.62,13,648,13995.7,48,Viagem,6,1
69,RN,Ensino Médio,5951.57,17,699,10072.27,24,Outros,3,0
19,BA,Ensino Médio,6613.41,2,713,5350.19,24,Saúde,4,0
36,CE,Ensino Superior,7168.78,17,745,8221.03,60,Viagem,0,0
23, PA ,Ensino Médio,3486.34,3,685,19400.42,18,Outros,1,0
31,RR,Ensino Superior,7118.74,24,677,8421.69,36,Reforma,1,0
40,RS,Ensino Fundamental,3211.48,1,536,23164.76,36,Viagem,3,1
70,MG,Ensino Médio,3430.95,12,698,7522.75,18,Saúde,4,0
38,MG,Ensino Médio,14274.89,2,588,13066.0,6,Reforma,1,0
56,SC,Ensino Médio,5670.22,12,589,7514.75,36,Veículo,2,0
57,RS,Ensino Médio,11800.34,25,710,12258.14,36,Educação,0,0
57,RJ,Ensino Médio,10787.85,8,642,12023.13,12,Educação,3,0
54,AL,Ensino Fundamental,4276.81,23,686,5550.24,24,Saúde,0,0
53,RR,Ensino Médio,6269.54,6,701,14095.87,24,Reforma,1,1
54,PB,Pós-graduação,6058.0,22,685,3421.53,24,Veículo,4,0
30,AC,Ensino Médio,7349.23,16,620,12786.85,24,Viagem,0,0
31,DF,Ensino Médio,3771.6,4,665,17763.21,36,Outros,2,0
73,RR,Pós-graduação,10317.96,11,560,8904.54,36,Educação,0,0
52,DF,Ensino Superior,8992.87,12,459,7475.68,24,Saúde,1,1
18,ES,Ensino Superior,4079.31,4,619,22699.15,18,Reforma,3,0
63,PI,Ensino Superior,1211.82,9,724,16066.56,18,Outros,2,1
36,GO,Ensino Médio,1208.43,15,637,8366.38,36,Outros,3,1
22,PI,Ensino Médio,15923.32,19,628,24979.93,18,Veículo,4,0
52,GO,Ensino Médio,2021.01,16,607,11021.91,12,Outros,1,1
42,SE,Ensino Médio,9646.59,13,766,39601.2,18,Outros,3,0
56,RS,Ensino Superior,9350.21,9,665,15887.76,36,Outros,0,0
39,DF,Ensino Superior,4767.56,12,538,24889.88,48,Veículo,0,0
48,CE,Ensino Médio,2036.48,12,619,25071.03,60,Saúde,1,1
44,TO,Ensino Superior,10246.09,6,693,28779.48,12,Outros,0,0
66,DF,Ensino Médio,3379.49,15,584,20802.82,60,Educação,4,0
37,MS,Ensino Superior,3020.38,24,734,5143.93,60,Veículo,0,0
72,TO,Pós-graduação,3453.16,7,679,24941.58,60,Veículo,7,1
22,MT,Ensino Superior,3676.16,6,777,3839.33,12,Saúde,0,0
70,PB,Ensino Médio,1360.01,22,775,6819.08,36,Saúde,3,0
58,PA,Ensino Superior,4402.74,2,767,25126.49,24,Outros,2,0
69,CE,Ensino Superior,1039.51,8,644,14870.29,12,Reforma,2,1
32,ES,Ensino Fundamental,3882.21,17,657,17621.05,18,Educação,0,0
32,MS,Ensino Médio,3972.72,8,702,18808.84,48,Reforma,2,0
69,TO,Pós-graduação,5475.97,9,721,5658.85,6,Reforma,1,0
35,PA,Ensino Superior,6393.78,3,564,8811.14,18,Reforma,0,0
29,MG,Ensino Superior,4660.11,8,592,11746.53,12,Educação,0,1
63, BA ,Ensino Superior,1603.39,20,554,13477.8,24,Veículo,0,1
31,GO,Ensino Superior,17427.61,24,775,11518.94,36,Outros,0,0
29,AM,Ensino Médio,3531.2,3,584,22282.14,36,Educação,1,0
48,MG,Ensino Médio,2913.16,3,669,36847.49,24,Saúde,0,0
27,SC,Ensino Fundamental,4583.99,16,792,50000.0,48,Educação,0,0
73,MA,Ensino Superior,3112.3,6,760,13172.26,36,Educação,0,0
46,MS,Ensino Médio,3532.0,15,771,6125.02,36,Viagem,0,0
34,AL,Pós-graduação,4314.08,17,684,7206.66,36,Viagem,3,1
50,AM,Ensino Superior,3335.84,19,538,4671.55,36,Reforma,1,1
55,SP,Pós-graduação,2929.35,17,501,45868.44,24,Educação,4,1
27,SP,Ensino Superior,1601.58,1,583,14323.54,6,Veículo,1,1
51,PB,Ensino Médio,6908.94,16,678,7814.44,48,Veículo,2,0
46,PA,Ensino Fundamental,2554.31,6,775,16153.33,36,Educação,0,0
33,MT,Ensino Superior,3673.59,2,734,7031.08,60,Veículo,0,0
35,CE,Ensino Superior,8402.42,10,645,16287.39,6,Outros,1,1
26,MA,Ensino Médio,6926.68,23,641,13543.68,36,Veículo,0,1
30,PI,Ensino Superior,2972.05,1,720,14286.82,24,Saúde,1,0
65,MT,Ensino Médio,1941.79,5,694,14007.44,12,Educação,0,0
39,BA,Ensino Superior,2362.46,24,704,7511.24,12,Educação,0,1
23,MT,Ensino Fundamental,4309.96,13,614,12357.11,18,Educação,3,1
47,PB,Ensino Médio,5201.1,25,626,31466.65,60,Reforma,0,0
52,TO,Ensino Médio,4325.49,6,680,23878.31,48,Saúde,2,0
21,SC,Ensino Superior,3647.06,30,624,12172.39,36,Educação,3,0
68,MA,Pós-graduação,22791.04,3,850,16355.95,48,Educação,3,0
25,AL,Ensino Médio,1753.96,3,725,10758.04,36,Saúde,2,0
53,MG,Ensino Superior,4910.27,8,519,30614.7,48,Educação,3,1
37,MG,Pós-graduação,1674.38,17,520,9652.21,24,Veículo,1,0
43,PE,Ensino Médio,4643.7,5,741,6075.34,36,Educação,4,0
71,MS,Ensino Fundamental,3525.93,18,533,25775.93,36,Saúde,3,1
24,AM,Ensino Superior,1845.42,3,691,29821.88,60,Reforma,0,0
62,AL,Ensino Superior,24223.5,18,515,6794.85,36,Educação,0,0
35,DF,Ensino Superior,3353.96,8,513,5615.39,12,Educação,5,1
63,SP,Ensino Médio,7559.03,13,607,10779.09,48,Reforma,4,0
72,AP,Ensino Médio,1664.51,23,771,8416.19,36,Outros,0,0
75,SC,Ensino Médio,1856.55,16,517,7910.6,36,Veículo,0,1
28,AM,Ensino Superior,3642.35,20,591,9377.27,60,Reforma,1,1
32,RS,Ensino Superior,4147.37,13,628,8194.5,24,Veículo,0,0
45,RO,Pós-graduação,11456.37,6,763,5415.5,60,Saúde,0,0
46,SC,Ensino Superior,2506.13,25,646,18682.34,36,Veículo,2,0
29,PR,Ensino Superior,5534.01,21,743,10292.09,36,Educação,2,0
19,AP,Ensino Médio,3824.36,1,511,4725.69,36,Reforma,3,0
29,RN,Ensino Superior,6294.68,17,641,6197.86,12,Viagem,3,0
33,RN,Ensino Superior,4134.3,16,436,14480.04,36,Outros,0,1
26,AC,Ensino Médio,3452.49,15,691,8494.33,48,Outros,0,0
25,PB,Ensino Fundamental,12255.72,2,725,6444.45,6,Reforma,4,0
75,PI,Ensino Médio,5602.61,7,484,17784.57,60,Reforma,0,0
75,PA,Ensino Médio,3556.29,4,651,9893.76,24,Educação,0,0
71,AM,Ensino Médio,2543.12,21,631,12569.18,36,Outros,6,0
31,PA,Pós-graduação,5594.86,22,603,7584.26,18,Reforma,5,1
67,AC,Ensino Superior,3100.36,9,776,33684.35,18,Reforma,0,0
47,BA,Ensino Superior,5066.71,7,750,9985.53,48,Outros,1,0
34,PE,Ensino Médio,14296.52,22,568,12564.95,24,Reforma,0,0
62,AL,Pós-graduação,14677.17,12,620,25497.45,36,Outros,2,0
28,SP,Ensino Superior,2136.54,14,616,11365.22,24,Reforma,0,1
45,SP,Ensino Superior,2461.05,23,569,20186.99,36,Educação,0,1
54,RS,Pós-graduação,3832.92,19,716,13219.17,12,Veículo,5,0
29,MG,Ensino Médio,4696.78,22,686,4549.57,48,Viagem,3,1
